id	document_id	sentence_nr	content	code	title/text	dataset	url
13651	Kmeas0	1	Anbindung an die Straßenbahn durch Radinfrastruktur	mpos	title	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13652	Kmeas0	2	Die Anbindung der äußeren Siedlungsbereiche Fischelns an den ÖPNV ist ausbaufähig.	premise	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13653	Kmeas0	3	(Ich denke dabei gerade an das neue Wohngebiet Fischeln-Südwest, aber für die südlichsten Bereiche gilt das bereits heute.)	premise	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13654	Kmeas0	4	Von hier ist der Weg zur Straßenbahn 041 sehr weit, die Buslinien 060/061 fahren lediglich halbstündig, sind verhaltnismäßig unkomfortabel, und brauchen relativ lange bis zum Hauptbahnhof.	premise	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13655	Kmeas0	5	IMO muss die Erreichbarkeit von einer Straßenbahn erhöht werden.	mpos	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13656	Kmeas0	6	Aus den Konzepten aus dem anderen Dialograum schließe ich, dass ein Aus- bzw. Umbau der Linien 041 und/oder 042 geplant ist bzw. zumindest untersucht wird.	non-arg	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13657	Kmeas0	7	Das begrüße ich sehr.	non-arg	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13658	Kmeas0	8	Allerdings wird es sich dabei vrsl. um erst langfristig realisierbare Maßnahmen handeln.	non-arg	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13659	Kmeas0	9	Die Erreichbarkeit der aktuellen Linie 041 muss IMO aber auch kurzfristig verbessert werden, damit jetzt schon MIV-Fahrten ins Stadtzentrum vermieden werden können.	mpos	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13660	Kmeas0	10	Eine relativ kurzfristig und kostengünstig umzusetzende Maßnahme ist die Einrichtung eines Bikesharingangebots (auch in ganz Krefeld, aber konkret v.a. in Fischeln; z.B. Nextbike).	mpos	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13661	Kmeas0	11	Durch die Errichtung von Stationen an den Haltestellen (v.a. Grundend, Eichhornstraße, Clemensstraße) sowie im Siedlungsgebiet, z.B. entlang der Dohmenstraße, aber auch im Wohngebiet, kann die Erreichbarkeit IMO stark verbessert werden.	mpos	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
13662	Kmeas0	12	Damit auch Menschen mit privaten Fahrrädern unkomplizierter zur StraB pendeln können, bietet sich ebenso ein Angebot von abschließbaren Fahrradboxen im Bereich der Haltestellen an.	mpos	text	MC_K	https://www.krefeld-bewegen.de/dialoge/fischeln/anbindung-die-strassenbahn-durch-radinfrastruktur
